                                                  GEOID  votes_dem  ...  index_right  District
552                      28043-GORE SPRINGS COMM CENTER         70  ...            1         2
557                            28107-EUREKA COMM CENTER        209  ...            1         2
558                                        28007-SALLIS        534  ...            1         2
563                                28079-CARTHAGE SOUTH        110  ...            1         2
569                                     28005-RICEVILLE        152  ...            1         2
570                          28011-CLEVELAND COURTHOUSE        108  ...            1         2
576                         28043-BOX 3 CITY AUDITORIUM       1132  ...            1         2
579              28089-COUPARLE UNITED METHODIST CHURCH         34  ...            1         2
580                                  28055-ADDIE VOTING         80  ...            1         2
587                                          28027-LYON        336  ...            1         2
589                            28163-2-2 WELFARE OFFICE        221  ...            1         2
592                                     28149-BEECHWOOD        415  ...            1         2
593                                       28119-DARLING        127  ...            1         2
594                                28107-POPE CITY HALL        245  ...            1         2
595                                       28079-OFAHOMA        269  ...            1         2
599                                      28135-CASCILLA         80  ...            1         2
601                          28133-32-INDIANOLA 3 NORTH        266  ...            1         2
603                                         28005-ONEIL          9  ...            1         2
611                                     28083-GWD SOUTH        301  ...            1         2
613                                 28149-CHERRY STREET       1028  ...            1         2
615                                   28099-PEARL RIVER        300  ...            1         2
616                                    28099-ZEPHYRHILL         74  ...            1         2
618                     28051-BEAT 4 WALDEN CHAPEL (A-Z        156  ...            1         2
623                                        28011-BEULAH        145  ...            1         2
625                              28089-MAGNOLIA HEIGHTS        690  ...            1         2
631                      28053-BELZONI NORTH - 2BN 2020        108  ...            1         2
637                                       28049-TERRY 2       1128  ...            1         2
639                                28001-5 FOSTER MOUND        821  ...            1         2
640                                       28049-TERRY 1       1123  ...            1         2
642                   28089-GREATER MT LEVI FULL GOSPEL        464  ...            1         2
643                              28163-1-6 LITTLE YAZOO         91  ...            1         2
645                         28089-CANTON ANDERSON LODGE        999  ...            1         2
647                                       28097-STEWART          6  ...            1         2
649                      28151-LELAND HEALTH DEPARTMENT        825  ...            1         2
650                                        28083-GWD NE        625  ...            1         2
655                                    28007-POSSUMNECK         74  ...            1         2
658                          28107-SARDIS SOUTH LIBRARY        744  ...            1         2
660                                          28019-BYWY         57  ...            1         2
668                                 28157-LONGMIRE 5020        143  ...            1         2
671                            28157-WOODVILLE 4TH 4010        512  ...            1         2
673                                  28133-11-INVERNESS        313  ...            1         2
676                                    28149-AUDITORIUM        693  ...            1         2
679                                    28137-EVANSVILLE         46  ...            1         2
680                      28151-LAKE VISTA MASONIC LODGE        757  ...            1         2
681                                          28083-MVSU        249  ...            1         2
691                             28163-1-3 BENTONIA WEST        279  ...            1         2
694                     28125-ROLLING FORK 3RD DISTRICT        315  ...            1         2
696                                         28011-BOYLE        183  ...            1         2
700                                     28085-ARLINGTON        132  ...            1         2
704                                       28079-HARMONY        198  ...            1         2
705                  28113-(19) PISGAH METHODIST CHURCH        219  ...            1         2
708                       28151-JAKE'S CHAPEL MB CHURCH        907  ...            1         2
710                                  28071-WEST UNION 4         87  ...            1         2
711              28089-CANTON ST. PAUL METHODIST CHURCH        157  ...            1         2
713                                        28037-LUCIEN         23  ...            1         2
719                                         28079-SALEM         54  ...            1         2
721                               28163-2-3 DEASONVILLE        429  ...            1         2
725                    28151-ST. JAMES EPISCOPAL CHURCH       1320  ...            1         2
726                                  28027-CLARKSDALE 4       1035  ...            1         2
727                                   28005-AMITE RIVER        192  ...            1         2
728                                  28027-CLARKSDALE 3        387  ...            1         2
729                                  28027-CLARKSDALE 2        685  ...            1         2
730                                     28049-DRY GROVE        288  ...            1         2
731                                  28133-44-RULEVILLE        751  ...            1         2
733                                  28027-CLARKSDALE 5       1068  ...            1         2
734                                          28027-LULA        126  ...            1         2
740                                        28049-BOLTON        738  ...            1         2
741                                    28007-PROVIDENCE         31  ...            1         2
742                                    28163-1-8 VALLEY         21  ...            1         2
743                                        28011-SHELBY        836  ...            1         2
747                                     28001-5 AIRPORT        399  ...            1         2
755                                     28015-RAYS SHOP         64  ...            1         2
756                                    28007-NORTH EAST        845  ...            1         2
757                               28071-ANCHOR-TAYLOR 4         93  ...            1         2
762                                       28049-UTICA 2        503  ...            1         2
763                                       28049-UTICA 1        302  ...            1         2
771                                   28135-WEBB BEAT 5        261  ...            1         2
772                              28051-BEAT 4 LEXINGTON       1019  ...            1         2
773                                   28135-WEBB BEAT 4         83  ...            1         2
