3797,943,211,2
3803,916,1162,2
3812,851,2166,2
4019,24,162,2
4022,119,395,2
4027,600,516,2
4028,206,1147,2
4029,31,175,2
4030,223,461,2
4034,241,1451,2
4036,248,872,2
4037,216,636,2
4051,161,1356,2
4097,77,298,2
4106,770,1633,2
4136,1391,2613,2
4165,2135,5192,2
4169,58,6,2
4174,33,52,2
4179,516,194,2
4181,0,0,2
4183,201,374,2
4204,143,1810,2
4437,96,105,2
4440,169,302,2
4445,72,507,2
4447,76,675,2
4531,513,286,2
4605,497,136,2
4607,630,89,2
4609,1381,222,2
4636,1034,140,2
4638,1123,692,2
4669,699,1593,2
4771,46,309,2
4806,255,1032,2
4826,71,35,2
4827,686,191,2
4832,1840,720,2
4833,241,131,2
4852,1042,476,2
4857,831,333,2
4955,211,322,2
4957,100,189,2
4959,118,124,2
4961,245,450,2
4964,593,221,2
4965,321,257,2
4967,348,338,2
4969,438,406,2
4972,309,383,2
5013,306,373,2
5016,288,480,2
5020,247,391,2
5023,46,98,2
5024,98,45,2
5025,173,342,2
5027,56,60,2
5029,806,828,2
5032,247,294,2
5113,755,941,2
5155,1482,3390,2
5291,254,71,2
5293,61,484,2
5451,127,519,2
5454,17,154,2
5456,49,348,2
5518,682,133,2
5519,782,49,2
5520,646,158,2
5521,532,575,2
5522,293,324,2
5523,1060,62,2
5524,430,339,2
5526,338,680,2
5528,277,136,2
5529,997,215,2
5558,757,510,2
5559,132,859,2
5560,90,479,2
5563,1932,182,2
5565,344,668,2
5566,220,1330,2
5568,544,214,2
5570,179,350,2
5571,679,474,2
5572,1284,581,2
5573,372,489,2
5576,2011,337,2
5589,688,2167,2
5590,796,2086,2
5593,497,2799,2
5594,75,400,2
5596,362,2130,2
5597,324,2286,2
5598,526,1702,2
5599,892,2556,2
5600,1343,3237,2
5602,1031,3035,2
5605,975,2867,2
5630,542,954,2
5632,774,2468,2
5635,415,1565,2
5638,549,2128,2
5642,210,1144,2
5645,384,885,2
5646,465,1328,2
5648,862,2314,2
5649,1117,2534,2
5650,338,1057,2
5652,784,2737,2
5653,377,182,2
5655,345,11,2
5657,228,71,2
5662,403,434,2
5665,257,161,2
5668,404,130,2
5682,548,975,2
5684,839,1188,2
5687,522,1583,2
5689,687,1754,2
5690,539,1137,2
5692,260,376,2
5693,802,443,2
5694,290,591,2
5695,1128,1866,2
5697,1010,138,2
5700,388,538,2
5715,788,2000,2
5718,910,1305,2
5720,383,826,2
5722,205,591,2
5725,298,773,2
5728,458,861,2
5730,537,925,2
5732,631,1180,2
5787,675,855,2
5788,393,1447,2
5790,506,1080,2
5791,399,335,2
5792,127,1152,2
5810,429,1586,2
5827,451,859,2
5828,654,291,2
5841,805,1885,2
5842,502,2258,2
5844,124,422,2
5845,1026,940,2
5847,466,1854,2
5848,93,702,2
5849,243,974,2
0,90,474,3
4,43,567,3
53,476,1114,3
79,35,486,3
89,114,683,3
91,9,117,3
201,209,588,3
206,119,268,3
208,866,3018,3
210,310,504,3
212,554,1492,3
214,25,258,3
221,19,100,3
228,293,1429,3
230,397,1268,3
232,533,1619,3
233,419,2049,3
234,560,687,3
235,360,733,3
236,689,1797,3
239,803,1600,3
246,796,196,3
249,365,62,3
251,11,55,3
252,108,158,3
253,100,423,3
254,530,1105,3
255,396,651,3
259,575,1149,3
265,297,1047,3
268,337,1341,3
272,1100,3521,3
278,8,173,3
280,544,2119,3
347,750,1952,3
400,134,434,3
558,810,1676,3
574,604,1407,3
604,289,1424,3
607,508,2116,3
684,537,1211,3
770,254,566,3
774,541,1904,3
906,737,1492,3
922,532,1052,3
925,469,2130,3
928,254,1155,3
930,241,1202,3
931,255,1385,3
933,259,1517,3
935,145,705,3
936,154,844,3
937,210,1056,3
938,1380,1726,3
947,908,638,3
948,385,1181,3
949,322,984,3
950,376,1459,3
951,248,900,3
952,186,985,3
953,809,1330,3
954,149,630,3
956,160,772,3
957,233,997,3
962,338,533,3
963,1318,2056,3
970,670,949,3
971,1943,2891,3
974,353,512,3
992,1251,1505,3
1028,327,504,3
1044,901,1423,3
1050,603,1297,3
1051,233,270,3
1080,876,1308,3
1114,346,646,3
1119,539,1154,3
1144,641,1293,3
1158,474,941,3
1368,790,1971,3
1418,347,89,3
1453,143,171,3
1455,9,1,3
1479,554,800,3
1507,1118,2070,3
1567,316,1236,3
1798,567,1304,3
1866,593,2031,3
1940,389,352,3
1954,591,916,3
1974,1028,1159,3
2015,329,537,3
2057,424,854,3
2059,263,565,3
2213,165,487,3
2422,475,1587,3
2452,1973,595,3
2454,1320,1151,3
2456,1369,965,3
2459,838,155,3
2460,1170,422,3
2461,1174,387,3
2462,1609,979,3
2464,2412,1611,3
2465,1575,736,3
2466,3513,1064,3
2471,1655,789,3
2472,1448,1042,3
2474,3043,1902,3
2475,3389,714,3
2478,1149,1247,3
2479,1254,697,3
2483,1941,1545,3
2485,2021,1464,3
2487,868,1133,3
2489,1464,681,3
2513,1244,560,3
2514,828,2187,3
2516,1103,1114,3
2517,1375,599,3
2533,298,303,3
2536,128,1258,3
2539,72,599,3
2541,469,916,3
2542,177,929,3
2545,58,461,3
2547,698,589,3
2548,321,691,3
2550,327,1122,3
2551,1549,375,3
2552,474,385,3
2554,1204,1116,3
2557,1472,948,3
2559,1732,627,3
2561,1078,118,3
2563,346,659,3
2565,1583,91,3
2566,1222,1057,3
2568,286,387,3
2592,424,725,3
2596,1430,282,3
2597,1107,1607,3
2599,138,329,3
2601,734,850,3
2604,1431,2036,3
2607,752,969,3
2608,1789,624,3
2610,990,1749,3
2629,1873,712,3
2632,1297,418,3
2634,462,562,3
2636,1640,324,3
2637,1705,278,3
2638,1720,438,3
2642,1858,491,3
2644,829,562,3
2645,1821,926,3
2646,1203,716,3
2657,43,393,3
2659,431,1181,3
2662,172,825,3
2663,81,741,3
2668,109,530,3
2671,1580,814,3
2674,1243,1838,3
2676,1161,352,3
2678,1868,949,3
2680,1435,999,3
2681,2035,220,3
2683,1573,299,3
2684,1288,501,3
2685,2387,344,3
2686,1026,352,3
2703,558,1406,3
2707,462,1100,3
2711,61,806,3
2790,146,93,3
2802,1196,1881,3
2821,1218,945,3
2822,111,194,3
2841,385,713,3
2908,620,1279,3
2909,527,1186,3
2910,444,934,3
2912,1405,1741,3
2914,463,229,3
2916,725,1179,3
2919,126,227,3
2921,966,2136,3
2923,647,694,3
2930,753,212,3
2931,1469,1889,3
2932,523,1137,3
2935,819,1279,3
2937,924,1140,3
2941,348,523,3
2943,479,57,3
2945,786,1191,3
2950,680,585,3
2951,1227,247,3
3019,129,747,3
3020,151,863,3
3140,207,663,3
3194,221,2807,3
3197,583,307,3
3198,157,245,3
3199,320,859,3
3200,300,397,3
3201,162,448,3
3202,39,170,3
3203,189,970,3
3204,213,419,3
3220,1261,1755,3
3374,25,276,3
3375,449,1780,3
3377,288,1155,3
3390,550,1318,3
3406,337,650,3
3424,415,884,3
3432,578,1045,3
3447,586,1046,3
3449,411,546,3
3451,677,586,3
3484,687,820,3
3525,205,261,3
3557,412,813,3
3735,70,151,3
3779,231,1226,3
3783,176,804,3
3799,234,780,3
3848,609,1989,3
3851,69,330,3
3990,853,2251,3
4041,480,1102,3
4098,362,732,3
4147,397,2386,3
4421,213,2100,3
4424,162,722,3
4426,101,144,3
4427,74,344,3
4440,169,302,3
4441,101,847,3
4443,92,797,3
4445,72,507,3
4447,76,675,3
4448,191,1214,3
4461,187,1055,3
4481,231,1031,3
4483,170,1682,3
4501,113,575,3
4543,131,700,3
4657,630,1705,3
4677,351,822,3
4678,116,300,3
4699,269,375,3
4724,683,1054,3
4728,115,336,3
4731,251,535,3
4735,319,569,3
4741,300,483,3
4768,34,398,3
4770,30,282,3
4771,46,309,3
4782,39,277,3
4783,94,732,3
4784,410,708,3
4787,66,353,3
4789,25,297,3
4791,332,1841,3
4795,289,1562,3
4854,26,258,3
4874,997,1269,3
4918,25,219,3
4983,238,1062,3
5217,204,1161,3
5305,466,1161,3
5467,576,1501,3
5535,629,1882,3
5634,287,1111,3
5825,207,2378,3
5857,251,565,3
1,1077,551,15
3,619,212,15
6,2154,1374,15
8,791,417,15
10,759,296,15
11,408,176,15
12,1008,649,15
13,1247,958,15
14,1925,1575,15
28,762,334,15
29,1076,785,15
30,200,81,15
31,484,426,15
205,995,1181,15
207,1666,1214,15
217,2672,2162,15
224,1126,1566,15
225,1124,1018,15
226,716,1322,15
227,2042,2108,15
229,155,457,15
241,1935,3404,15
242,685,1170,15
243,1218,1251,15
245,815,1482,15
250,266,965,15
257,1315,1981,15
261,1985,2082,15
262,61,57,15
263,586,992,15
276,1120,2342,15
283,903,854,15
285,1499,2729,15
286,429,786,15
293,1661,2204,15
295,182,405,15
325,840,1007,15
361,2364,4067,15
364,2861,3616,15
366,739,1486,15
368,2790,2570,15
369,260,529,15
404,143,317,15
405,246,474,15
406,884,1725,15
410,122,177,15
429,262,613,15
430,1618,2265,15
432,697,1517,15
435,2144,3263,15
438,161,565,15
439,1890,2364,15
443,971,2243,15
452,1713,1649,15
454,268,502,15
455,957,1820,15
458,353,777,15
459,661,1587,15
461,3100,4800,15
464,3272,2994,15
467,1904,2791,15
470,176,515,15
547,226,185,15
548,1205,728,15
675,1026,770,15
695,1232,787,15
699,823,719,15
702,22,7,15
705,358,152,15
710,1207,1201,15
718,1331,1123,15
754,30,33,15
1264,363,1605,15
1674,2132,2687,15
1676,952,1370,15
1704,1133,1505,15
1716,1167,1315,15
1865,1133,2345,15
1872,424,1505,15
1874,841,2050,15
1901,2227,4148,15
2103,922,1797,15
2150,1171,1572,15
2234,1392,926,15
2235,1439,1275,15
2245,581,643,15
2246,308,1136,15
2247,485,1452,15
2870,954,1225,15
2892,1669,1331,15
2896,864,1046,15
2898,246,492,15
2902,2454,2133,15
2904,2043,2670,15
2915,716,1574,15
2988,1360,1343,15
2989,977,1832,15
2994,623,2200,15
2995,594,1422,15
2998,280,1270,15
3003,341,1418,15
3395,811,119,15
3397,1726,312,15
3403,1128,283,15
3405,691,269,15
3410,433,371,15
3412,518,265,15
3415,1264,1122,15
3421,419,783,15
3422,569,1230,15
3455,871,292,15
3457,763,443,15
3460,1015,682,15
3470,789,436,15
3472,347,219,15
3497,3016,2163,15
3501,1865,1151,15
3527,184,196,15
3529,931,762,15
3532,40,7,15
3535,163,627,15
3538,942,219,15
3542,393,84,15
3565,653,147,15
3567,855,404,15
3569,782,574,15
3572,585,223,15
3575,832,714,15
3578,1005,762,15
4121,2299,2143,15
4124,727,583,15
4126,800,736,15
4141,1626,989,15
4142,1652,1321,15
4143,629,658,15
4144,2001,1550,15
4145,1323,1317,15
4146,1230,1113,15
4148,749,827,15
4152,1345,1149,15
4154,975,1091,15
4156,398,449,15
4158,639,487,15
4217,308,411,15
4219,413,551,15
4220,612,675,15
4222,1213,1466,15
4225,445,485,15
4226,207,230,15
4229,90,209,15
4248,792,967,15
