1967,756,2090,8
1968,547,883,8
1969,78,479,8
1970,69,249,8
1971,931,1040,8
1972,2447,849,8
1973,1142,1912,8
1975,44,632,8
1976,398,1199,8
1977,169,761,8
1978,124,161,8
1986,725,2749,8
1989,160,189,8
2017,1835,303,8
2018,493,2415,8
2019,4717,6096,8
2020,624,2154,8
2021,806,2146,8
2022,854,3073,8
2023,376,526,8
2024,329,614,8
2025,3270,3453,8
2026,2395,4096,8
2027,2741,653,8
2028,1572,148,8
2029,105,14,8
2046,544,360,8
2050,680,191,8
2088,13,99,8
2089,166,704,8
2090,28,288,8
2093,63,214,8
2094,366,1523,8
2095,212,1069,8
2096,402,1458,8
2097,113,214,8
2098,1732,1334,8
2099,130,428,8
2100,200,600,8
2101,152,415,8
2102,332,1274,8
2103,168,810,8
2104,136,796,8
2105,135,558,8
2106,61,276,8
2107,245,305,8
2108,160,461,8
2110,408,545,8
2113,16,247,8
2211,1370,2299,8
2212,1055,564,8
2213,1399,266,8
2214,133,541,8
2230,226,1969,8
2234,478,1898,8
2235,4,224,8
2252,1217,2805,8
2253,591,2579,8
2254,991,1216,8
2423,216,438,8
2424,73,558,8
2425,715,893,8
2426,334,386,8
2427,54,199,8
2428,95,351,8
2435,239,344,8
2436,58,251,8
2437,103,380,8
2438,64,163,8
2439,133,368,8
2440,324,798,8
2441,149,684,8
2442,999,300,8
2443,546,592,8
2444,408,1157,8
2445,811,71,8
2446,635,973,8
2447,162,561,8
2448,752,1156,8
2449,182,730,8
2451,850,1719,8
2452,580,883,8
2453,412,1160,8
2454,90,401,8
2455,162,882,8
2456,1174,272,8
2457,158,899,8
2458,129,403,8
2459,685,1637,8
2460,818,1291,8
2461,701,1344,8
2462,304,1480,8
2463,111,771,8
2464,783,409,8
2465,207,640,8
2466,90,756,8
2469,72,908,8
2475,133,1300,8
2491,1217,1025,8
2492,45,289,8
2493,148,1035,8
2494,710,401,8
2495,151,410,8
2496,687,484,8
2497,190,781,8
2498,306,294,8
2512,250,783,8
2546,2001,479,8
2547,364,2212,8
2548,17,339,8
2549,52,658,8
2550,630,2087,8
2551,574,1062,8
2552,24,263,8
2553,104,1067,8
2554,113,679,8
2555,290,206,8
2556,19,359,8
2557,23,454,8
2580,452,906,8
2581,237,677,8
2616,76,563,8
2617,99,658,8
2618,149,554,8
2619,235,92,8
2620,194,264,8
2621,109,272,8
2630,98,247,8
2631,27,110,8
2635,667,585,8
2636,360,295,8
2638,28,380,8
2639,112,485,8
2640,126,879,8
2641,225,709,8
2642,29,383,8
2643,1045,616,8
2644,134,689,8
2645,45,375,8
2646,30,284,8
2647,83,127,8
2648,47,104,8
2649,113,462,8
2650,143,337,8
2651,152,585,8
2652,83,415,8
0,132,709,1
1,23,647,1
2,288,843,1
3,116,870,1
4,130,1048,1
5,908,531,1
6,118,697,1
7,20,587,1
8,44,594,1
13,625,4018,1
110,164,2210,1
111,267,2259,1
112,268,2522,1
120,302,1300,1
121,536,717,1
122,573,1654,1
123,1393,2528,1
124,567,1111,1
125,393,1442,1
126,635,937,1
127,435,1213,1
128,888,1137,1
129,1017,2205,1
130,2074,1907,1
131,217,411,1
134,236,1193,1
135,203,987,1
143,60,298,1
144,169,740,1
168,192,490,1
169,497,1355,1
170,74,384,1
171,347,886,1
172,546,1013,1
173,299,1075,1
174,540,842,1
175,804,747,1
176,387,555,1
177,1604,2825,1
178,845,1222,1
179,639,1308,1
180,485,763,1
181,708,1786,1
182,1269,3133,1
222,21,332,1
223,64,538,1
224,844,711,1
225,22,418,1
226,54,535,1
227,20,194,1
228,60,486,1
229,18,205,1
230,587,628,1
231,471,674,1
232,771,996,1
233,827,172,1
234,1054,197,1
235,350,51,1
236,526,114,1
237,1347,220,1
238,754,402,1
239,366,1387,1
240,176,122,1
241,798,63,1
242,244,510,1
243,1036,1581,1
244,300,626,1
245,550,22,1
246,267,64,1
247,1593,54,1
248,537,64,1
249,860,1666,1
250,164,304,1
251,739,1375,1
252,320,17,1
253,1170,772,1
254,1652,900,1
255,2091,994,1
256,3374,1629,1
257,2508,1464,1
258,745,78,1
259,704,854,1
260,456,155,1
261,989,14,1
262,1231,1437,1
263,601,1125,1
264,531,1226,1
265,408,496,1
266,433,311,1
267,709,410,1
268,1464,441,1
269,1151,1000,1
270,1369,933,1
271,509,26,1
272,647,1044,1
273,672,23,1
274,839,163,1
275,1597,952,1
276,489,772,1
277,572,992,1
278,713,161,1
279,361,278,1
280,1910,102,1
281,707,115,1
282,1123,135,1
283,823,123,1
284,1087,1030,1
285,974,546,1
286,1332,398,1
287,1557,1367,1
288,1742,256,1
289,1261,977,1
290,938,17,1
291,907,1568,1
292,1369,220,1
293,554,948,1
